Long,Lat,OBJECTID,Ward,WardCode,State,StateCode,Lga,LgaCode,Shape_Leng,Shape_Area,Location_I
6.0092,9.0885,5207,MASABA  II,7,NIGER,NG,BIDA,3,0.0112603697,0.0000071023,BIDAMASABA  II
6.0057,9.0891,5208,MASABA I,6,NIGER,NG,BIDA,3,0.01655283,0.00001517108,BIDAMASABA I
6.0175,9.0922,5210,MASAGA  I,8,NIGER,NG,BIDA,3,0.0243282855,0.00001563571,BIDAMASAGA  I
6.0127,9.0936,5211,MASAGA II,9,NIGER,NG,BIDA,3,0.0118708495,0.00000862609,BIDAMASAGA II
5.5424,12.1293,5212,MASAMA,5,ZAMFARA,ZF,BUKKUYUM,4,0.0936043242,0.0003105482,BUKKUYUMMASAMA
4.7130,12.5115,5213,MASAMA KWASGARA,10,KEBBI,KB,GWANDU,10,0.2798363321,0.0039678553,GWANDUMASAMA KWASGARA
5.7206,9.9362,5218,MASHEGU,8,NIGER,NG,MASHEGU,16,1.3873752381,0.1038687131,MASHEGUMASHEGU
6.6900,13.0565,5219,MASHEM,7,ZAMFARA,ZF,ZURMI,14,0.1779127265,0.0016650768,ZURMIMASHEM
5.5212,10.5310,5227,MASUGA,6,NIGER,NG,KONTAGORA,11,0.4313816185,0.0079577613,KONTAGORAMASUGA
5.8579,12.0571,5236,MATSERI,6,ZAMFARA,ZF,ANKA,1,0.773345781,0.0196941183,ANKAMATSERI
4.2853,11.4463,5237,MATSINKA/GEZA,9,KEBBI,KB,BAGUDO,5,0.3944965964,0.0065309946,BAGUDOMATSINKA/GEZA
4.1642,12.5653,5240,MAURIDA /KARYO/UNG. MIJIN-NANA,7,KEBBI,KB,BIRNIN KEBBI,6,0.3213134857,0.0056898659,BIRNIN KEBBIMAURIDA /KARYO/UNG. MIJIN-NA
6.0049,9.0784,5245,MAYAKI NDAJIYA,10,NIGER,NG,BIDA,3,0.0200177847,0.0000252868,BIDAMAYAKI NDAJIYA
6.6361,12.1353,5246,MAYANA,5,ZAMFARA,ZF,GUSAU,7,0.2322050215,0.0030880014,GUSAUMAYANA
6.2617,12.3302,5247,MAYANCHI,9,ZAMFARA,ZF,MARU,10,0.2174234401,0.0025968987,MARUMAYANCHI
5.4356,11.3218,5262,MAZA/MAZA,6,KEBBI,KB,SAKABA,16,0.2855667418,0.0024869657,SAKABAMAZA/MAZA
5.0922,10.0349,5263,MAZAKUKA/LIKORO,9,NIGER,NG,MASHEGU,16,0.5488348757,0.0113539838,MASHEGUMAZAKUKA/LIKORO
5.1611,12.8240,5264,MAZAN GARI/JIRGA MIYO,3,SOKOTO,SO,BODINGA,2,0.4208721057,0.0085337181,BODINGAMAZAN GARI/JIRGA MIYO
6.5408,9.6106,5425,MINNA CENTRAL,4,NIGER,NG,CHANCHAGA,6,0.0243620896,0.00002935673,CHANCHAGAMINNA CENTRAL
6.5259,9.5960,5426,MINNA SOUTH,5,NIGER,NG,CHANCHAGA,6,0.0797838789,0.0002462104,CHANCHAGAMINNA SOUTH
6.7675,12.5583,5443,MODOMAWA EAST,7,ZAMFARA,ZF,BIRNIN MAGAJI,3,0.3399766343,0.0047233427,BIRNIN MAGAJIMODOMAWA EAST
6.7015,12.5268,5444,MODOMAWA WEST,8,ZAMFARA,ZF,BIRNIN MAGAJI,3,0.2463829938,0.0034661137,BIRNIN MAGAJIMODOMAWA WEST
5.0525,9.2934,5453,MOKWA,9,NIGER,NG,MOKWA,17,0.0390279177,0.00003449294,MOKWAMOKWA
6.1997,12.3840,5461,MORAI,5,ZAMFARA,ZF,TALATA MAFARA,12,0.4017108845,0.0091407715,TALATA MAFARAMORAI
4.1433,12.1175,5491,MUNGADI/BOTORO,9,KEBBI,KB,MAIYAMA,14,0.2785245459,0.0021180549,MAIYAMAMUNGADI/BOTORO
5.7607,8.8071,5494,MUREGI,10,NIGER,NG,MOKWA,17,0.3829339185,0.0013065339,MOKWAMUREGI
4.0089,12.3023,5508,MUTUBARI,7,KEBBI,KB,KALGO,12,0.0635176,0.0001900738,KALGOMUTUBARI
